French,English
partie,part
histoire,history
chercher,search
seulement,only
pensais,thought
aide,help
demande,request
genre,kind
frère,brother
laisser,let
car,because
laisse,leash
eux,them
ville,city
parlé,speak
arrivé,come
devrait,should
bébé,baby
longtemps,long time
heures,hours
vont,will
aucune,any
parle,speak
savais,knew
étaient,were
pourrais,could
affaire,case
donner,give
donné,given
écoute,listen
dont,whose
trouve,find
premier,first
perdu,lost
main,hand
pouvoir,power
vieux,old
tiens,here
tellement,so much
enfant,child
venu,came
pardon,sorry
venez,come
vers,towards
minutes,minutes
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
espère,hope
eau,water
attendez,Wait
parti,left
nouvelle,new
boulot,job
arrêter,Stop
dirait,would say
donne,given
loin,far
chérie,sweetheart
gros,large
plutôt,rather
filles,girls
jouer,to play
bureau,office
